code_insee,commune,dep,PMUN,dans_MEL,acces_supermarche_moy_min,acces_supermarche_min_min,acces_epicerie_moy_min,acces_epicerie_min_min,acces_boulangerie_moy_min,acces_boulangerie_min_min,acces_boucherie_moy_min,acces_boucherie_min_min,acces_poste_moy_min,acces_poste_min_min,acces_decheterie_moy_min,acces_decheterie_min_min,commerces_essentiels_sur_place,n_resto,resto_pour_1000hab
59002,Abscon,59,4203,False,2.1,1.0,1.6,1.0,5.2,3.2,5.2,3.3,1.7,1.0,4.1,2.1,5,5,1.19
59004,Aix-en-Pévèle,59,1358,False,8.1,4.9,5.9,2.5,5.0,2.7,4.6,2.9,6.2,3.2,11.5,8.3,0,0,0.0
59005,Allennes-les-Marais,59,3567,True,2.8,1.0,1.6,1.0,1.9,1.0,1.7,1.0,2.0,1.0,2.9,1.0,5,3,0.84
59008,Aniche,59,9997,False,2.0,1.0,1.4,1.0,1.4,1.0,1.5,1.0,2.4,1.0,4.0,1.0,7,19,1.9
59011,Annœullin,59,10780,True,2.4,1.0,2.5,1.0,1.9,1.0,1.8,1.0,2.2,1.0,3.2,1.0,7,11,1.02
59013,Anstaing,59,1601,True,5.0,3.2,4.0,2.2,2.7,1.0,4.0,2.2,3.6,1.8,14.1,12.2,1,3,1.87
59014,Anzin,59,13422,False,2.3,1.0,1.7,1.0,1.5,1.0,1.6,1.0,2.3,1.0,6.0,3.4,7,30,2.24
59015,Arleux,59,3151,False,3.3,1.0,6.8,3.3,2.3,1.0,12.5,10.1,2.4,1.0,3.6,1.0,6,4,1.27
59017,Armentières,59,25581,True,1.9,1.0,1.5,1.0,1.6,1.0,1.9,1.0,2.9,1.0,6.3,3.2,7,78,3.05
59018,Arnèke,59,1561,False,7.4,4.2,7.3,3.9,1.4,1.0,1.5,1.0,1.6,1.0,2.6,1.0,5,3,1.92
59019,Artres,59,1064,False,7.0,5.8,1.3,1.0,5.4,2.9,7.7,6.3,1.3,1.0,4.1,2.9,3,4,3.76
59022,Attiches,59,2238,False,7.4,4.2,4.8,1.9,1.8,1.0,2.1,1.0,1.5,1.0,9.8,6.2,3,6,2.68
