code_insee,commune,dep,PMUN,dans_MEL,taux_taxe_fonciere_bati,taux_taxe_habitation,surtaxe_residence_secondaire_pct
59002,Abscon,59,4203,False,42.81,25.86,0.0
59004,Aix-en-Pévèle,59,1358,False,41.76,26.91,0.0
59005,Allennes-les-Marais,59,3567,True,45.56,32.14,0.0
59008,Aniche,59,9997,False,50.16,37.64,0.0
59011,Annœullin,59,10780,True,50.76,36.2,0.0
59013,Anstaing,59,1601,True,45.56,38.56,0.0
59014,Anzin,59,13422,False,46.11,34.86,0.0
59015,Arleux,59,3151,False,42.25,30.15,0.0
59017,Armentières,59,25581,True,56.23,47.04,0.0
59018,Arnèke,59,1561,False,41.59,30.66,0.0
59019,Artres,59,1064,False,40.94,31.8,0.0
59022,Attiches,59,2238,False,43.26,35.73,0.0
59024,Auberchicourt,59,4626,False,49.93,35.24,0.0
59025,Aubers,59,1722,True,39.74,34.26,0.0
59026,Aubigny-au-Bac,59,1159,False,35.7,28.49,0.0
59027,Aubry-du-Hainaut,59,1726,False,43.04,26.84,0.0
59028,Auby,59,7188,False,62.81,30.65,0.0
59029,Auchy-lez-Orchies,59,1486,False,39.43,30.34,0.0
59032,Aulnoy-lez-Valenciennes,59,7183,False,39.76,31.11,0.0
59034,Avelin,59,2600,False,31.15,20.94,0.0
59038,Avesnes-le-Sec,59,1447,False,40.88,32.1,0.0
59042,Bachy,59,1883,False,42.12,27.32,0.0
59043,Bailleul,59,14869,False,48.28,42.31,0.0
59044,Baisieux,59,5177,True,40.85,37.78,0.0
59052,Bauvin,59,4999,True,49.18,33.78,0.0
59054,Bavinchove,59,1046,False,42.2,23.9,0.0
59064,Bellaing,59,1329,False,42.24,26.26,0.0
59071,Bersée,59,2296,False,40.49,23.45,0.0
59079,Beuvrages,59,6784,False,45.08,36.48,0.0
59080,Beuvry-la-Forêt,59,2834,False,52.21,32.04,0.0
59082,Bierne,59,1772,False,43.1,29.34,0.0
59084,Blaringhem,59,2043,False,36.34,20.53,0.0
59086,Boeschepe,59,2179,False,44.46,28.36,0.0
59088,Bois-Grenier,59,1793,True,36.24,30.22,0.0
59089,Bollezeele,59,1423,False,40.12,33.48,0.0
59090,Bondues,59,9713,True,43.84,44.01,0.0
59094,Bourbourg,59,7023,False,55.52,47.35,0.0
59096,Bourghelles,59,1673,False,40.34,27.17,0.0
59098,Bousbecque,59,4847,True,50.86,49.64,0.0
59105,Bouvignies,59,1548,False,42.1,29.59,0.0
59112,Bruay-sur-l'Escaut,59,11309,False,63.44,34.25,0.0
59114,Bruille-Saint-Amand,59,1682,False,38.34,30.37,0.0
59113,Bruille-lez-Marchiennes,59,1350,False,57.81,42.66,0.0
59117,Bugnicourt,59,1074,False,34.65,27.62,0.0
59122,Cambrai,59,31425,False,40.33,35.38,0.0
59123,Camphin-en-Carembault,59,1714,False,36.88,26.52,0.0
59124,Camphin-en-Pévèle,59,2501,False,43.39,30.6,0.0
59126,Cantin,59,1770,False,41.08,29.07,0.0
59128,Capinghem,59,2474,True,39.16,34.2,0.0
59129,Cappelle-en-Pévèle,59,2262,False,39.08,31.69,0.0
59133,Carnin,59,1076,True,33.49,29.73,0.0
59135,Cassel,59,2227,False,42.23,28.35,0.0
59120,Caëstre,59,2006,False,47.78,31.21,0.0
59146,Chéreng,59,3001,True,43.73,38.45,0.0
59152,Comines,59,12671,True,41.3,44.97,60.0
59153,Condé-sur-l'Escaut,59,9396,False,60.62,51.94,0.0
59155,Coudekerque-Branche,59,20765,False,57.27,46.58,0.0
59156,Courchelettes,59,2881,False,46.92,32.14,0.0
59158,Coutiches,59,3246,False,45.79,29.38,0.0
59163,Croix,59,20778,True,44.74,45.86,40.0
59165,Cuincy,59,6472,False,45.67,26.03,0.0
59166,Curgies,59,1347,False,35.83,35.21,0.0
59168,Cysoing,59,4722,False,42.95,39.23,0.0
