code_insee,commune,dep,PMUN,dans_MEL,cyclable_util_km,cyclable_util_km_1000hab,pistes_protegees_km_1000hab,part_amenagements_proteges_pct,voie_verte_km_1000hab,cyclable_util_km_2022,cyclable_util_evol_km,cyclable_util_evol_pct
59002,Abscon,59,4203,False,4.88,1.17,0.89,76.0,2.45,8.34,-3.46,-42.0
59004,Aix-en-Pévèle,59,1358,False,0.7,0.52,0.0,0.0,0.0,0.7,0.0,0.0
59005,Allennes-les-Marais,59,3567,True,3.15,0.89,0.48,54.0,0.67,0.78,2.36,301.0
59008,Aniche,59,9997,False,1.92,0.19,0.16,82.0,0.46,1.71,0.21,13.0
59011,Annœullin,59,10780,True,7.78,0.71,0.37,52.0,0.64,7.71,0.07,1.0
59013,Anstaing,59,1601,True,1.3,0.79,0.07,9.0,2.99,1.3,0.0,0.0
59014,Anzin,59,13422,False,3.74,0.28,0.0,1.0,0.59,5.57,-1.83,-33.0
59015,Arleux,59,3151,False,0.0,0.0,0.0,,0.67,0.0,0.0,
59017,Armentières,59,25581,True,21.07,0.81,0.26,33.0,0.36,18.75,2.32,12.0
59018,Arnèke,59,1561,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59019,Artres,59,1064,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59022,Attiches,59,2238,False,1.93,0.86,0.83,96.0,0.0,0.09,1.84,2044.0
59024,Auberchicourt,59,4626,False,1.07,0.23,0.0,0.0,2.1,1.07,0.0,0.0
59025,Aubers,59,1722,True,0.0,0.0,0.0,,0.0,0.0,0.0,
59026,Aubigny-au-Bac,59,1159,False,1.37,1.18,0.0,0.0,1.22,1.04,0.33,32.0
59027,Aubry-du-Hainaut,59,1726,False,3.41,1.99,1.99,100.0,0.02,7.49,-4.08,-54.0
59028,Auby,59,7188,False,9.74,1.36,0.86,63.0,0.9,9.22,0.52,6.0
59029,Auchy-lez-Orchies,59,1486,False,4.24,2.75,2.75,100.0,0.0,3.67,0.57,15.0
