code_insee,commune,dep,PMUN,dans_MEL,P22_POP,taux_var_pop_16_22_pct_an,taux_var_pop_11_16_pct_an,accel_pop_pts,dynamique_pop,indice_vieillissement_2022,evol_vieillissement_16_22_pts,taux_migration_entrante_pct,arrivants_actifs_pour_1000hab,part_actifs_tc_pct_2022,part_actifs_velo_pct_2022,part_actifs_voiture_pct_2022,evol_part_tc_16_22_pts,evol_prix_maison_24_25_pct,n_ventes_maison
59002,Abscon,59,4203,False,4160.0,-1.08,0.91,-1.99,declin qui s'aggrave,80.0,24.0,6.1,29.1,3.3,2.1,88.6,-1.8,32.0,53
59004,Aix-en-Pévèle,59,1358,False,1348.0,2.17,1.26,0.91,croissance qui accelere,56.0,5.0,7.6,36.4,6.8,1.6,84.7,1.3,,23
59005,Allennes-les-Marais,59,3567,True,3549.0,0.41,0.8,-0.39,croissance qui ralentit,63.0,20.0,6.4,31.5,5.9,1.7,87.0,-1.4,3.8,74
59008,Aniche,59,9997,False,10001.0,-0.49,-0.4,-0.09,declin qui s'aggrave,49.0,10.0,6.2,29.7,6.8,2.1,80.5,0.7,7.1,193
59011,Annœullin,59,10780,True,10887.0,0.62,1.81,-1.19,croissance qui ralentit,69.0,16.0,5.9,32.3,8.4,1.9,81.8,0.4,0.4,194
59013,Anstaing,59,1601,True,1643.0,2.32,1.75,0.57,croissance qui accelere,61.0,14.0,5.1,32.3,3.9,2.5,87.3,-0.6,,31
59014,Anzin,59,13422,False,13417.0,-0.01,-0.08,0.07,stable,57.0,7.0,7.0,25.7,11.3,3.7,69.3,-1.0,7.3,203
59015,Arleux,59,3151,False,3148.0,0.1,0.76,-0.66,stable,87.0,20.0,5.1,18.8,4.3,0.8,83.4,0.3,-2.2,59
59017,Armentières,59,25581,True,26107.0,0.71,-0.54,1.25,croissance qui accelere,59.0,6.0,6.5,30.8,16.9,3.0,66.5,2.1,7.3,539
59018,Arnèke,59,1561,False,1557.0,-0.87,0.53,-1.4,declin qui s'aggrave,140.0,35.0,7.2,25.0,9.0,0.9,76.5,-0.1,,27
