uic,nom,role
87286005,Lille Flandres,lille
87223263,Lille Europe,lille
87281006,Dunkerque,gare_utile
87281071,Calais - Fréthun,gare_utile
87281105,Bergues,gare_utile
87281113,Esquelbecq,gare_utile
87281121,Arnèke,gare_utile
87281139,Cassel,gare_utile
87281428,Audruicq,gare_utile
87281436,Watten - Éperlecques,gare_utile
87281444,Saint-Omer,gare_utile
87286062,Hellemmes,gare_utile
87286096,Haubourdin,gare_utile
87286112,Loos lez Lille,gare_utile
87286146,Armentières,gare_utile
87286161,Steenwerck,gare_utile
87286179,Bailleul,gare_utile
87286187,La Madeleine,gare_utile
87286195,Saint-André,gare_utile
87286203,Strazeele,gare_utile
87286278,Pérenchies,gare_utile
87286302,Hazebrouck,gare_utile
87286401,Santes,gare_utile
87286419,Wavrin,gare_utile
87286435,Don - Sainghin,gare_utile
87286500,Phalempin,gare_utile
87286518,Seclin,gare_utile
87286526,Wattignies - Templemars,gare_utile
87286534,Ronchin,gare_utile
87286542,Tourcoing,gare_utile
87286567,Rosult,gare_utile
87286575,Landas,gare_utile
87286583,Orchies,gare_utile
87286625,Templeuve,gare_utile
87286641,Fretin,gare_utile
87286716,Croix - Wasquehal,gare_utile
87286732,Roubaix,gare_utile
87286849,Lesquin,gare_utile
87286864,Ascq,gare_utile
87286872,Baisieux,gare_utile
87287151,Nieppe,gare_utile
87295006,Maubeuge,gare_utile
87295857,Le Quesnoy,gare_utile
87296244,Busigny,gare_utile
87317263,Calais Ville,gare_utile
87317586,Boulogne sur Mer,gare_utile
87342006,Béthune,gare_utile
87342014,Arras,gare_utile
87342402,Beuvry lès Béthune,gare_utile
87342410,Cuinchy,gare_utile
87342436,La Bassée,gare_utile
87342451,Salomé,gare_utile
87342469,Marquillies,gare_utile
87342543,Calonne-Ricouart,gare_utile
87343004,Valenciennes,gare_utile
87343103,Saint-Amand-les-Eaux,gare_utile
87343210,Le Poirier Université,gare_utile
87345009,Douai,gare_utile
87345025,Lens,gare_utile
87345140,Billy-Montigny,gare_utile
87345157,Hénin-Beaumont,gare_utile
87345165,Dourges,gare_utile
87345207,Pont de la Deûle,gare_utile
87345215,Sallaumines,gare_utile
87345223,Leforest,gare_utile
87345231,Loison-sous-Lens,gare_utile
87345249,Ostricourt,gare_utile
87345256,Libercourt,gare_utile
87345264,Pont-à-Vendin,gare_utile
87345272,Meurchin,gare_utile
87345280,Bauvin - Provin,gare_utile
87345306,Montigny-en-Ostrevent,gare_utile
87345314,Somain,gare_utile
87345520,Cambrai,gare_utile
87345561,Caudry,gare_utile
